#,Name,MLBAMID,RazzballID,FanGraphsID,NFBCID,FantraxID,Team,STD_POS,YAHOO_POS,Last,First,Lastv2,Firstv2,CBSSportsName,CBSSportsID,YahooID,YahooName
117,Jacob deGrom,594798,10954,10954,8784,*02hjp*,TEX,SP,SP,deGrom,Jacob,deGrom,Jacob,Jacob deGrom P | TEX,2044508,9701,Jacob deGrom
118,Ben Lively,594902,594902,14932,8960,*0311w*,CLE,SP,SP,Lively,Ben,Lively,Ben,Ben Lively P | CLE,2117048,9881,Ben Lively
119,Blake Treinen,595014,12572,12572,8756,*02bve*,LAD,RP,RP,Treinen,Blake,Treinen,Blake,Blake Treinen P | LAD,1953420,9672,Blake Treinen
120,Steven Okert,595345,13580,13580,9290,*02myt*,HOU,RP,RP,Okert,Steven,Okert,Steven,Steven Okert P | HOU,2167292,10109,Steven Okert
121,Chad Wallach,595453,17161,17161,9740,*03121*,ATH,C,C,Wallach,Chad,Wallach,Chad,Chad Wallach C | ATH,2166445,10799,Chad Wallach
122,Jorge Alfaro,595751,12180,12180,8715,*025iy*,KC,C,C,Alfaro,Jorge,Alfaro,Jorge,Jorge Alfaro C | KC,1846227,9631,Jorge Alfaro
123,Jurickson Profar,595777,10815,10815,8228,*01spl*,ATL,OF,OF,Profar,Jurickson,Profar,Jurickson,Jurickson Profar OF | ATL,1796123,9112,Jurickson Profar
124,Javier Baez,595879,12979,12979,8643,*026mn*,DET,SS/3B/ OF,2B/SS/ 3B/OF,Baez,Javier,Báez,Javier,"Javier Baez 3B,SS,OF | DET",1894628,9557,Javier Báez
125,Nick Burdi,595897,595897,16074,8952,*03adx*,NYM,RP,RP,Burdi,Nick,Burdi,Nick,Nick Burdi P | NYM,2167354,9873,Nick Burdi
126,Jake Cave,595909,14477,14477,9251,*02bul*,TB,OF,OF,Cave,Jake,Cave,Jake,Jake Cave OF | TB,2120354,11017,Jake Cave
127,John Curtiss,595928,595928,16128,9733,*02ob9*,ARI,RP,RP,Curtiss,John,Curtiss,John,John Curtiss P | ARI,2803669,10793,John Curtiss
128,Austin Hedges,595978,12976,12976,8431,*02brk*,CLE,C,C,Hedges,Austin,Hedges,Austin,Austin Hedges C | CLE,1947852,9336,Austin Hedges
129,Jakob Junis,596001,596001,13619,9547,*02f9m*,TEX,RP,RP,Junis,Jakob,Junis,Jakob,Jakob Junis P | TEX,2443874,10494,Jakob Junis
130,Francisco Lindor,596019,12916,12916,8226,*02611*,NYM,SS,SS,Lindor,Francisco,Lindor,Francisco,Francisco Lindor SS | NYM,1894627,9116,Francisco Lindor
131,Austin Slater,596103,596103,16153,9669,*03dg7*,TB,OF,OF,Slater,Austin,Slater,Austin,Austin Slater OF | TB,2226803,10719,Austin Slater
132,Robert Stephenson,596112,13594,13594,8650,*02bq7*,LAA,RP,RP,Stephenson,Robert,Stephenson,Robert,Robert Stephenson P | LAA,1894642,9563,Robert Stephenson
133,Trevor Story,596115,12564,12564,8658,*02bqh*,BOS,SS,SS,Story,Trevor,Story,Trevor,Trevor Story SS | BOS,1945488,9571,Trevor Story
134,Garrett Stubbs,596117,596117,18067,10201,*03qn0*,PHI,C,C,Stubbs,Garrett,Stubbs,Garrett,Garrett Stubbs C | PHI,2228210,10478,Garrett Stubbs
135,Luke Weaver,596133,16918,16918,9430,*02c5l*,NYM,RP,RP,Weaver,Luke,Weaver,Luke,Luke Weaver P | NYM,2135258,10217,Luke Weaver
136,Gary Sanchez,596142,11442,11442,8212,*01t9q*,MIL,C,C,Sanchez,Gary,Sánchez,Gary,Gary Sanchez C | MIL,1799263,9097,Gary Sánchez
137,Max Kepler,596146,12144,12144,9172,*01vja*,ARI,OF,OF,Kepler,Max,Kepler,Max,Max Kepler OF | ARI,2044504,10095,Max Kepler
138,Casey Lawrence,596271,596271,11121,9643,*04awd*,SEA,SP,SP,Lawrence,Casey,Lawrence,Casey,Casey Lawrence P | SEA,2434730,10677,Casey Lawrence
139,Austin Gomber,596295,16561,16561,9847,*03dbe*,ATL,RP,RP,Gomber,Austin,Gomber,Austin,Austin Gomber P | ATL,2216698,11006,Austin Gomber
140,Jeimer Candelario,600869,13621,13621,9264,*027fx*,LAA,3B,1B/3B,Candelario,Jeimer,Candelario,Jeimer,Jeimer Candelario 3B | LAA,2051255,10328,Jeimer Candelario
141,Jose Leclerc,600917,14524,14524,9239,*030×2*,SD,RP,RP,Leclerc,Jose,Leclerc,José,Jose Leclerc P | SD,2170066,10336,José Leclerc
142,Nick Pivetta,601713,601713,15454,9570,*0316j*,SD,SP,SP,Pivetta,Nick,Pivetta,Nick,Nick Pivetta P | SD,2167338,10683,Nick Pivetta
143,Ramon Urias,602104,602104,18795,10445,*04de0*,STL,2B/3B,2B/3B,Urias,Ramon,Urías,Ramón,"Ramon Urias 2B,3B | STL",2826354,11239,Ramón Urías
144,Scott Barlow,605130,605130,14993,9923,*02buh*,KC,RP,RP,Barlow,Scott,Barlow,Scott,Scott Barlow P | KC,1947842,10998,Scott Barlow
145,Chris Bassitt,605135,12304,12304,8879,*02c2h*,BAL,SP,SP,Bassitt,Chris,Bassitt,Chris,Chris Bassitt P | BAL,2114418,9799,Chris Bassitt
146,Josh Bell,605137,13145,13145,8962,*026lz*,MIN,1B,1B,Bell,Josh,Bell,Josh,Josh Bell 1B | MIN,1940495,9883,Josh Bell
147,Mookie Betts,605141,13611,13611,8638,*02btf*,LAD,SS,SS,Betts,Mookie,Betts,Mookie,Mookie Betts SS | LAD,2106654,9552,Mookie Betts
148,Ray Black,605143,14244,,9286,*02bvi*,MIL,P,P,Black,Ray,Black,Ray,Ray Black P | MIL,2160178,10392,Ray Black
149,John Brebbia,605154,605154,12777,9664,*03xmd*,COL,RP,RP,Brebbia,John,Brebbia,John,John Brebbia P | COL,2821662,10711,John Brebbia
150,Aaron Brooks,605156,12272,12272,8752,*02bwv*,TB,RP,RP,Brooks,Aaron,Brooks,Aaron,Aaron Brooks P | TB,2113510,9668,Aaron Brooks
151,Victor Caratini,605170,605170,14968,9262,*0311f*,MIN,C/1B,C/1B,Caratini,Victor,Caratini,Victor,"Victor Caratini C,1B | MIN",2066830,10748,Victor Caratini
152,Andrew Chafin,605177,12988,12988,8863,*02bqd*,CIN,RP,RP,Chafin,Andrew,Chafin,Andrew,Andrew Chafin P | CIN,1967936,9782,Andrew Chafin
153,Michael Fulmer,605242,13218,13218,9217,*02bqj*,SF,RP,RP,Fulmer,Michael,Fulmer,Michael,Michael Fulmer P | SF,2007003,10179,Michael Fulmer
154,Aramis Garcia,605244,16925,16925,9898,*02c6c*,ARI,C,C,Garcia,Aramis,Garcia,Aramis,Aramis Garcia C | ARI,2167291,10578,Aramis Garcia
155,Clay Holmes,605280,605280,13649,9555,*02bx4*,NYM,SP,SP,Holmes,Clay,Holmes,Clay,Clay Holmes P | NYM,2044540,10569,Clay Holmes
